Date,Time,Node,Process,Tag,File,Exception
2019-03-04 , 05:36:18.194056 , 5 , 1 , INFO , db_read.py:183 , Creating task
2019-03-04 , 05:36:18.194428 , 5 , 1 , DBG , db_write.py:368 , Node destroyed
2019-03-04 , 05:36:18.194585 , 5 , 1 , INFO , scheduler.py:224 , Node created
2019-03-04 , 05:36:18.194617 , 5 , 1 , DBG , protobuf_parser.py:214 , Gathering node data
2019-03-04 , 05:36:18.194781 , 5 , 1 , INFO , db_write.py:75 , Generated binary file
2019-03-04 , 05:36:18.194858 , 5 , 1 , ERROR , http_handler.py:81 , Node destroyed
2019-03-04 , 05:36:18.194996 , 5 , 1 , DBG , fanout.py:139 , Gathering logs from all nodes
2019-03-04 , 05:36:18.195114 , 5 , 1 , INFO , http_handler.py:52 , Node destroyed
2019-03-04 , 05:36:18.195232 , 5 , 1 , ERROR , log_collector.py:227 , Combining logs from all nodes into single log file
2019-03-04 , 05:36:18.195390 , 5 , 1 , INFO , db_write.py:373 , Node destroyed
2019-03-04 , 05:36:18.195684 , 5 , 1 , ERROR , publisher.py:347 , Fanning out RPC
2019-03-04 , 05:36:18.195922 , 5 , 1 , DBG , task_generator.py:63 , Generated binary file
2019-03-04 , 05:36:18.196109 , 5 , 1 , DBG , scheduler.py:165 , Gathering logs from all nodes
2019-03-04 , 05:36:18.196343 , 5 , 1 , ERROR , task_generator.py:151 , Fanning out RPC
2019-03-04 , 05:36:18.196877 , 5 , 1 , DBG , ssh_tunnel.py:74 , Fanning out RPC
2019-03-04 , 05:36:18.196984 , 5 , 1 , INFO , protobuf_parser.py:309 , Creating task
2019-03-04 , 05:36:18.197115 , 5 , 1 , DBG , ssh_tunnel.py:251 , Node destroyed
2019-03-04 , 05:36:18.197316 , 5 , 1 , INFO , gflags_handler.py:206 , Gathering logs from all nodes
2019-03-04 , 05:36:18.197496 , 5 , 1 , ERROR , http_handler.py:244 , Gathering logs from all nodes
